0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,0.14289252255231868,0.012606743719295056,0.0008243785162182079,4.400989749902317e-05,2.0248482794436597e-06,8.307043580308125e-08,3.1098579199759163e-09,1.0800417487042967e-10,3.522672838038137e-12,1.0892231493039364e-13,3.216464862271707e-15,9.124848094164498e-17,2.4989023392736675e-18,6.632522729767772e-20,1.7118307999980796e-21,4.308432568558145e-23,1.0599880105657768e-24,2.5749301106274997e-26,2.5749301106274997e-26
1.0,0.15374843488065687,0.014615445555620115,0.0010263210008996473,5.860173876915928e-05,2.8725560221784446e-06,1.2510719612165882e-07,4.955889975972889e-09,1.8158733009780536e-10,6.231885933703405e-12,2.0226024868075886e-13,6.2554230559398974e-15,1.8548453538292463e-16,5.2994174059326015e-18,1.464910951239483e-19,3.931523457209398e-21,1.0274286617797994e-22,2.62105592146843e-24,6.599009637279003e-26,6.599009637279003e-26
1.0,0.16430303577346828,0.016729045397673493,0.0012550451502148406,7.630423495577935e-05,3.969331360472902e-06,1.8288640857003908e-07,7.642234690943734e-09,2.946054975263381e-10,1.0611768392238877e-11,3.6069291660677985e-13,1.1659186350999017e-14,3.606620364133268e-16,1.0731536227771929e-17,3.084624071751353e-19,8.59558977753189e-21,2.3291740008441972e-22,6.1533917894374405e-24,1.6037524251844057e-25,1.6037524251844057e-25
1.0,0.17456711106493553,0.01894021294634357,0.0015112866196317837,9.745213147895087e-05,5.361176024338493e-06,2.605120613255699e-07,1.1451395533324478e-08,4.632823898757426e-10,1.7475018264794257e-11,6.207636885573427e-13,2.093235923061183e-14,6.743348796820337e-16,2.086323304642125e-17,6.226375763915656e-19,1.799018238878607e-20,5.048265893929881e-22,1.37951217854315e-23,3.7177892750380416e-25,3.7177892750380416e-25
1.0,0.18455100714137407,0.02124201507346892,0.0017956559508982438,0.0001223800324813175,7.097926712304807e-06,3.6273894118680825e-07,1.6731161396208314e-08,7.087480358484497e-10,2.7937548782783405e-11,1.035219091439093e-12,3.635208020418648e-14,1.217629817695507e-15,3.9113057046630705e-17,1.2102964108455544e-18,3.621292843470882e-20,1.0510738940354447e-21,2.9675893515617416e-23,8.261261324099347e-25,8.261261324099347e-25
1.0,0.19426465030457923,0.023627895203984152,0.002108648260591089,0.0001514206730008744,9.233117882963713e-06,4.950109312347706e-07,2.390335750348448e-08,1.0580404769589524e-09,4.350101983985124e-11,1.6785037874900463e-12,6.128123831344818e-14,2.1310709657078054e-15,7.097536873608408e-17,2.274252355199439e-18,7.038249643260888e-20,2.11063753453337e-21,6.150616757818962e-23,1.7669295337732525e-24,1.7669295337732525e-24
1.0,0.20371756523606935,0.0260916537641299,0.002450652301300062,0.00018490338278106698,1.1823825524111474e-05,6.634958388909887e-07,3.347288218413442e-08,1.5452180179017456e-09,6.615016059365e-11,2.6536003979777152e-12,1.0057835778477234e-13,3.62628454958957e-15,1.2506030701707649e-16,4.144707006610348e-18,1.3252270932604444e-19,4.1017178814637255e-21,1.2324812003029731e-22,3.650386853600631e-24,3.650386853600631e-24
1.0,0.2129188926055663,0.02862742964026335,0.002821958933300918,0.00022315272639200902,1.49304951669787e-05,8.751166211500245e-07,4.603696651109076e-08,2.2125823069285063e-09,9.84661669388183e-11,4.100423522149125e-12,1.6112536619310359e-13,6.015235757785979e-15,2.1455583474393673e-16,7.346394630662045e-18,2.4243102061840075e-19,7.736866347027467e-21,2.394911733881298e-22,7.306834613322582e-24,7.306834613322582e-24
1.0,0.22187740586490662,0.031229682595716728,0.003222769042363321,0.00026648730541012903,1.8616757089439808e-05,1.1375789225697932e-06,6.229459443533809e-08,3.112011566342221e-09,1.4375741070351654e-10,6.2059903584541995e-12,2.5249728245903425e-13,9.74897308453822e-15,3.59246632057333e-16,1.269501166371606e-17,4.3195583597516943e-19,1.420096803232681e-20,4.524554206932971e-22,1.4208265632747968e-23,1.4208265632747968e-23
1.0,0.23060152726653624,0.03389317659590834,0.003653200937256167,0.00031521870940688336,2.2949231354746917e-05,1.4593948843049226e-06,8.305602230850721e-08,4.306402385162439e-09,2.062086380813162e-10,9.216602112672216e-12,3.878007826543026e-13,1.5468214840662683e-14,5.88256784801989e-16,2.1433275482295083e-17,7.51254823790436e-19,2.542090373995426e-20,8.329654161881457e-22,2.690181085008052e-23,2.690181085008052e-23
